id;noteDEA;noteDYS;choix1;choix2;choix3
eleve1;18;14;BIO;NRJ;EOC
eleve2;14;17;BIO;NRJ;EOC
eleve3;14;14;BIO;NRJ;EOC
eleve4;14;16;BIO;NRJ;EOC
eleve5;18;14;BIO;NRJ;EOC
eleve6;16;18;NRJ;EOC;BIO
eleve7;12;17;NRJ;EOC;BIO
eleve8;14;13;NRJ;EOC;BIO
eleve9;17;13;NRJ;EOC;BIO
eleve10;13;13;NRJ;EOC;BIO
eleve11;17;17;EOC;BIO;NRJ
eleve12;14;16;EOC;BIO;NRJ
eleve13;13;13;EOC;BIO;NRJ
eleve14;16;13;EOC;BIO;NRJ
eleve15;17;13;EOC;BIO;NRJ
eleve16;17;16;LD;SE;CSS
eleve17;14;18;LD;SE;CSS
eleve18;18;18;LD;SE;CSS
eleve19;12;13;LD;SE;CSS
eleve20;15;18;LD;SE;CSS
eleve21;13;14;SE;CSS;LD
eleve22;18;12;SE;CSS;LD
eleve23;18;15;SE;CSS;LD
eleve24;14;12;SE;CSS;LD
eleve25;15;14;SE;CSS;LD
eleve26;18;17;CSS;LD;SE
eleve27;17;16;CSS;LD;SE
eleve28;12;18;CSS;LD;SE
eleve29;12;17;CSS;LD;SE
eleve30;12;13;CSS;LD;SE
eleve31;17;12;BIO;NRJ;EOC
eleve32;18;8;BIO;NRJ;EOC
eleve33;12;11;BIO;NRJ;EOC
eleve34;15;10;BIO;NRJ;EOC
eleve35;16;10;BIO;NRJ;EOC
eleve36;15;14;NRJ;EOC;BIO
eleve37;17;14;NRJ;EOC;BIO
eleve38;16;9;NRJ;EOC;BIO
eleve39;16;11;NRJ;EOC;BIO
eleve40;17;14;NRJ;EOC;BIO
eleve41;12;8;EOC;BIO;NRJ
eleve42;16;9;EOC;BIO;NRJ
eleve43;12;12;EOC;BIO;NRJ
eleve44;13;11;EOC;BIO;NRJ
eleve45;12;11;EOC;BIO;NRJ
eleve46;17;8;LD;SE;CSS
eleve47;18;8;LD;SE;CSS
eleve48;16;13;LD;SE;CSS
eleve49;13;8;LD;SE;CSS
eleve50;17;9;LD;SE;CSS
eleve51;15;13;SE;CSS;LD
eleve52;16;8;SE;CSS;LD
eleve53;14;8;SE;CSS;LD
eleve54;13;9;SE;CSS;LD
eleve55;13;10;SE;CSS;LD
eleve56;14;8;CSS;LD;SE
eleve57;14;11;CSS;LD;SE
eleve58;18;11;CSS;LD;SE
eleve59;16;11;CSS;LD;SE
eleve60;16;13;CSS;LD;SE
eleve61;12;15;BIO;NRJ;EOC
eleve62;8;18;BIO;NRJ;EOC
eleve63;14;13;BIO;NRJ;EOC
eleve64;12;13;BIO;NRJ;EOC
eleve65;8;17;BIO;NRJ;EOC
eleve66;14;18;NRJ;EOC;BIO
eleve67;13;12;NRJ;EOC;BIO
eleve68;13;14;NRJ;EOC;BIO
eleve69;10;18;NRJ;EOC;BIO
eleve70;12;15;NRJ;EOC;BIO
eleve71;14;14;EOC;BIO;NRJ
eleve72;8;16;EOC;BIO;NRJ
eleve73;12;18;EOC;BIO;NRJ
eleve74;11;15;EOC;BIO;NRJ
eleve75;11;13;EOC;BIO;NRJ
eleve76;10;15;LD;SE;CSS
eleve77;10;15;LD;SE;CSS
eleve78;9;13;LD;SE;CSS
eleve79;9;16;LD;SE;CSS
eleve80;11;17;LD;SE;CSS
eleve81;14;13;SE;CSS;LD
eleve82;11;12;SE;CSS;LD
eleve83;9;13;SE;CSS;LD
eleve84;10;14;SE;CSS;LD
eleve85;9;16;SE;CSS;LD
eleve86;10;13;CSS;LD;SE
eleve87;9;16;CSS;LD;SE
eleve88;14;16;CSS;LD;SE
eleve89;10;16;CSS;LD;SE
eleve90;13;17;CSS;LD;SE
eleve91;10;14;BIO;NRJ;EOC
eleve92;8;10;BIO;NRJ;EOC
eleve93;11;9;BIO;NRJ;EOC
eleve94;12;10;BIO;NRJ;EOC
eleve95;11;12;BIO;NRJ;EOC
eleve96;11;8;NRJ;EOC;BIO
eleve97;11;13;NRJ;EOC;BIO
eleve98;9;10;NRJ;EOC;BIO
eleve99;14;14;NRJ;EOC;BIO
eleve100;10;9;NRJ;EOC;BIO
eleve101;9;9;EOC;BIO;NRJ
eleve102;9;13;EOC;BIO;NRJ
eleve103;13;10;EOC;BIO;NRJ
eleve104;11;12;EOC;BIO;NRJ
eleve105;11;14;EOC;BIO;NRJ
eleve106;9;12;LD;SE;CSS
eleve107;8;13;LD;SE;CSS
eleve108;9;12;LD;SE;CSS
eleve109;8;8;LD;SE;CSS
eleve110;9;14;LD;SE;CSS
eleve111;11;8;SE;CSS;LD
eleve112;12;9;SE;CSS;LD
eleve113;12;10;SE;CSS;LD
eleve114;14;10;SE;CSS;LD
eleve115;10;14;SE;CSS;LD
eleve116;8;13;CSS;LD;SE
eleve117;10;9;CSS;LD;SE
eleve118;14;13;CSS;LD;SE
eleve119;14;10;CSS;LD;SE
eleve120;8;8;CSS;LD;SE
